Day,Room,Free_Slots
Sunday,Room 2A03,"""01:00 PM-01:50 PM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Monday,Room 2A03,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Tuesday,Room 2A03,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 09:40 AM-10:30 AM, 02:40 PM-03:30 PM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Wednesday,Room 2A03,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Thursday,Room 2A03,"""10:30 AM-11:20 AM, 05:10 PM-06:00 PM"""
Sunday,Room 2A04,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 09:40 AM-10:30 AM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Monday,Room 2A04,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 09:40 AM-10:30 AM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Tuesday,Room 2A04,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Wednesday,Room 2A04,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Thursday,Room 2A04,"""02:40 PM-03:30 PM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Sunday,Room 2A05,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 09:40 AM-10:30 AM, 10:30 AM-11:20 AM, 11:20 AM-12:10 PM, 12:10 PM-01:00 PM, 01:00 PM-01:50 PM, 01:50 PM-02:40 PM, 02:40 PM-03:30 PM"""
Monday,Room 2A05,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Tuesday,Room 2A05,"""01:00 PM-01:50 PM, 01:50 PM-02:40 PM, 02:40 PM-03:30 PM"""
Wednesday,Room 2A05,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 09:40 AM-10:30 AM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Thursday,Room 2A05,"""01:00 PM-01:50 PM, 01:50 PM-02:40 PM, 02:40 PM-03:30 PM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Sunday,Room 2A06,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 09:40 AM-10:30 AM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Monday,Room 2A06,
Tuesday,Room 2A06,
Wednesday,Room 2A06,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 09:40 AM-10:30 AM"""
Thursday,Room 2A06,"""02:40 PM-03:30 PM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Sunday,Room 3A04,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 09:40 AM-10:30 AM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Monday,Room 3A04,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Tuesday,Room 3A04,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 09:40 AM-10:30 AM, 01:00 PM-01:50 PM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Wednesday,Room 3A04,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Thursday,Room 3A04,"""02:40 PM-03:30 PM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Sunday,Room 3A05,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Monday,Room 3A05,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Tuesday,Room 3A05,"""04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Wednesday,Room 3A05,"04:20 PM-05:10 PM, 05:10 PM-06:00 PM"
Thursday,Room 3A05,"""01:50 PM-02:40 PM, 02:40 PM-03:30 PM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Sunday,Room 3A06,"""10:30 AM-11:20 AM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Monday,Room 3A06,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 09:40 AM-10:30 AM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Tuesday,Room 3A06,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Wednesday,Room 3A06,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Thursday,Room 3A06,"""02:40 PM-03:30 PM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Sunday,Room 4A03,
Monday,Room 4A03,
Tuesday,Room 4A03,
Wednesday,Room 4A03,
Thursday,Room 4A03,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Tuesday,Room 4A04,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Sunday,Room 4A05,"""08:50 AM-09:40 AM, 04:20 PM-05:10 PM"""
Monday,Room 4A05,"""04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Tuesday,Room 4A05,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Wednesday,Room 4A05,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Thursday,Room 4A05,"""04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Sunday,Room 4A06,"""08:00 AM-08:50 AM"""
Monday,Room 4A06,"""08:00 AM-08:50 AM, 02:40 PM-03:30 PM"""
Tuesday,Room 4A06,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 09:40 AM-10:30 AM"""
Wednesday,Room 4A06,"""08:00 AM-08:50 AM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Thursday,Room 4A06,"""08:00 AM-08:50 AM, 02:40 PM-03:30 PM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Sunday,Room 5A03,"""01:00 PM-01:50 PM"""
Monday,Room 5A03,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Wednesday,Room 5A03,"""04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Monday,Room 5A04,"""05:10 PM-06:00 PM"""
Wednesday,Room 5A04,"""01:00 PM-01:50 PM"""
Thursday,Room 5A04,"""08:00 AM-08:50 AM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
